order_id,customer_id,product_id,quantity,order_date,store_id,payment_method,order_status
O0001,C0001,P0001,2,2024-03-01,S001,Card,Completed
O0002,C0002,P0004,1,2024-04-01,S001,Cash,Completed
O0003,C0003,P0010,3,2024-05-01,S002,Card,Completed
O0004,C0004,P0022,1,2024-06-01,S002,Card,Completed
O0005,C0005,P0035,2,2024-06-01,S003,Online,Completed
O0006,C0006,P0040,1,2024-07-01,S001,Card,Completed
O0007,C0007,P0055,4,2024-08-01,S004,Online,Completed
O0008,C0008,P0062,1,2024-08-01,S003,Cash,Completed
O0009,C0009,P0071,2,2024-09-01,S002,Card,Completed
O0010,C0010,P0080,1,2024-10-01,S001,Online,Completed
O0011,C0011,P0095,2,2024-11-01,S004,Card,Completed
O0012,C0012,P0102,1,2024-11-01,S003,Cash,Completed
O0013,C0013,P0110,3,2024-12-01,S002,Online,Completed
O0014,C0014,P0125,1,2024-12-01,S001,Card,Completed
O0015,C0015,P0130,2,2024-12-01,S003,Online,Completed
O0016,C0016,P0144,1,2024-12-01,S004,Cash,Completed
O0017,C0017,P0150,2,2024-12-01,S002,Card,Completed
O0018,C0018,P0162,1,2024-12-01,S001,Online,Completed
O0019,C0019,P0175,3,2024-12-01,S003,Card,Completed
O0020,C0020,P0180,1,2024-12-01,S004,Cash,Completed
O0021,C0021,P0191,2,2024-12-01,S001,Card,Completed
O0022,C0022,P0205,1,2024-12-01,S002,Online,Completed
O0023,C0023,P0210,2,2024-12-01,S003,Cash,Completed
O0024,C0024,P0224,1,2024-12-01,S004,Card,Completed
O0025,C0025,P0230,3,2024-12-01,S001,Online,Completed
O0026,C0026,P0242,1,2024-12-01,S002,Cash,Completed
O0027,C0027,P0250,2,2024-12-01,S003,Card,Completed
O0028,C0028,P0265,1,2024-12-01,S004,Online,Completed
O0029,C0029,P0270,2,2024-12-01,S001,Cash,Completed
O0030,C0030,P0284,1,2024-12-01,S002,Card,Completed
O0031,C0031,P0290,3,2024-12-01,S003,Online,Completed
O0032,C0032,P0305,1,2024-12-01,S004,Cash,Completed
O0033,C0033,P0310,2,2024-12-01,S001,Card,Completed
O0034,C0034,P0324,1,2024-12-01,S002,Online,Completed
O0035,C0035,P0330,2,2024-12-01,S003,Cash,Completed
O0036,C0036,P0345,1,2024-12-01,S004,Card,Completed
O0037,C0037,P0350,3,2024-12-01,S001,Online,Completed
O0038,C0038,P0362,1,2024-12-01,S002,Cash,Completed
O0039,C0039,P0370,2,2024-12-01,S003,Card,Completed
O0040,C0040,P0385,1,2024-12-01,S004,Online,Completed
O0041,C0041,P0390,2,2024-12-01,S001,Cash,Completed
O0042,C0042,P0402,1,2024-12-01,S002,Card,Completed
O0043,C0043,P0410,3,2024-12-01,S003,Online,Completed
O0044,C0044,P0425,1,2024-12-01,S004,Cash,Completed
O0045,C0045,P0430,2,2024-12-01,S001,Card,Completed
O0046,C0046,P0444,1,2024-12-01,S002,Online,Completed
O0047,C0047,P0450,2,2024-12-01,S003,Cash,Completed
O0048,C0048,P0462,1,2024-12-01,S004,Card,Completed
O0049,C0049,P0475,3,2024-12-01,S001,Online,Completed
O0050,C0050,P0480,1,2024-12-01,S002,Cash,Completed
O0051,C0051,P0491,2,2024-12-01,S003,Card,Completed
O0052,C0052,P0505,1,2024-12-01,S004,Online,Completed
O0053,C0053,P0510,2,2024-01-02,S001,Cash,Completed
O0054,C0054,P0524,1,2024-01-02,S002,Card,Completed
O0055,C0055,P0530,3,2024-02-02,S003,Online,Completed
O0056,C0056,P0542,1,2024-02-02,S004,Cash,Completed
O0057,C0057,P0550,2,2024-03-02,S001,Card,Completed
O0058,C0058,P0565,1,2024-03-02,S002,Online,Completed
O0059,C0059,P0570,2,2024-04-02,S003,Cash,Completed
O0060,C0060,P0584,1,2024-04-02,S004,Card,Completed
O0061,C0061,P0590,3,2024-05-02,S001,Online,Completed
O0062,C0062,P0605,1,2024-05-02,S002,Cash,Completed
O0063,C0063,P0610,2,2024-06-02,S003,Card,Completed
O0064,C0064,P0624,1,2024-06-02,S004,Online,Completed
O0065,C0065,P0630,2,2024-07-02,S001,Cash,Completed
O0066,C0066,P0645,1,2024-07-02,S002,Card,Completed
O0067,C0067,P0650,3,2024-08-02,S003,Online,Completed
O0069,C0069,P0670,2,2024-09-02,S001,Card,Completed
O0070,C0070,P0685,1,2024-09-02,S002,Online,Completed
O0071,C0071,P0690,2,2024-10-02,S003,Cash,Completed
O0072,C0072,P0702,1,2024-10-02,S004,Card,Completed
O0073,C0073,P0710,3,2024-11-02,S001,Online,Completed
O0074,C0074,P0725,1,2024-11-02,S002,Cash,Completed
O0075,C0075,P0730,2,2024-12-02,S003,Card,Completed
O0076,C0076,P0744,1,2024-12-02,S004,Online,Completed
O0077,C0077,P0750,2,2024-12-02,S001,Cash,Completed
O0078,C0078,P0762,1,2024-12-02,S002,Card,Completed
O0079,C0079,P0775,3,2024-12-02,S003,Online,Completed
O0080,C0080,P0780,1,2024-12-02,S004,Cash,Completed
O0081,C0081,P0791,2,2024-12-02,S001,Card,Completed
